stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,600,0.1,136,722,0.08314710998392354,0.42819852102768646
10-6,800,0.1,136,722,0.08510369411638145,0.43827471528082057
10-6,1000,0.1,136,722,0.08302661858895054,0.42757800352402364
10-6,1200,0.1,136,722,0.08190947247070476,0.4218248232186931
10-6,400,0.3,136,722,0.09279119267275436,0.4778644919174086
10-6,600,0.3,136,722,0.09186784914500883,0.4731093737532587
10-6,800,0.3,136,722,0.09224911454835763,0.4750728488742166
10-6,1000,0.3,136,722,0.0925721336977378,0.47673636215874265
10-6,1200,0.3,136,722,0.09174508701804877,0.472477162228256
10-6,400,0.5,136,722,0.11234896935753154,0.5785849024359532
10-6,600,0.5,136,722,0.11085566837867525,0.5708945657457292
10-6,800,0.5,136,722,0.1120997055596473,0.5773012211435978
10-6,1000,0.5,136,722,0.11210548794837072,0.5773309998129931
10-6,1200,0.5,136,722,0.11040529615219154,0.5685751980451613
10-6,400,0.7,136,722,0.1258985556345006,0.6483637895849711
10-6,600,0.7,136,722,0.12496578797556065,0.6435601381760675
10-6,800,0.7,136,722,0.12559072156160847,0.6467784777832762
10-6,1000,0.7,136,722,0.12594607489800227,0.6486085085939142
10-6,1200,0.7,136,722,0.1244283663022024,0.6407924753463585
10-6,400,0.9,136,722,0.13314241509901037,0.6856688734277557
10-6,600,0.9,136,722,0.13244434581562547,0.6820738929795108
10-6,800,0.9,136,722,0.1327827160519258,0.6838164626824338
10-6,1000,0.9,136,722,0.1332467327193949,0.686206097761523
10-6,1200,0.9,136,722,0.13187493209376633,0.6791414745996045
10-6,400,0.1,136,723,0.09040979442184244,0.46560055142428064
10-6,600,0.1,136,723,0.08247116676896872,0.4247174874115053
10-6,800,0.1,136,723,0.08712851120420516,0.44870230179014525
10-6,1000,0.1,136,723,0.08241338768274785,0.4244199314378714
10-6,1200,0.1,136,723,0.08326531408518445,0.4288072592189371
10-6,400,0.3,136,723,0.09133764438189956,0.47037887722188054
10-6,600,0.3,136,723,0.09190294129185642,0.4732900944708246
10-6,800,0.3,136,723,0.0928701914101059,0.47827132677316636
10-6,1000,0.3,136,723,0.09218385227945211,0.4747367553283356
10-6,1200,0.3,136,723,0.09226441462086847,0.4751516425739859
10-6,400,0.5,136,723,0.1117518722835338,0.5755099178207906
10-6,600,0.5,136,723,0.11093421503644689,0.571299072441103
