stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.1,600,0.0854143135917589,0.4664314068090278,126,722
10-5,0.1,800,0.0840943166085395,0.459223153016702,126,722
10-5,0.1,1000,0.09531726922469201,0.520509573959247,126,722
10-5,0.1,1200,0.07905800477082163,0.43172080690146786,126,722
10-5,0.3,400,0.13464572817798753,0.7352748476684375,126,722
10-5,0.3,600,0.12127330744415354,0.6622505879976767,126,722
10-5,0.3,800,0.11934730366984242,0.6517330457709122,126,722
10-5,0.3,1000,0.129989665531178,0.7098489704446009,126,722
10-5,0.3,1200,0.11800438012636835,0.6443995943705603,126,722
10-5,0.5,400,0.14532410135564106,0.7935874233274812,126,722
10-5,0.5,600,0.14248641216019808,0.7780913394996186,126,722
10-5,0.5,800,0.14529473411625163,0.793427054389226,126,722
10-5,0.5,1000,0.14510559487408198,0.7923942007713929,126,722
10-5,0.5,1200,0.14259339336880655,0.7786755436398272,126,722
10-5,0.7,400,0.1509965418798573,0.8245635478491445,126,722
10-5,0.7,600,0.14549507684097235,0.7945210881056599,126,722
10-5,0.7,800,0.14687618711246134,0.8020630700030729,126,722
10-5,0.7,1000,0.14782953114994285,0.8072691014265744,126,722
10-5,0.7,1200,0.14548592238526228,0.7944710973549781,126,722
10-5,0.9,400,0.15673296883535448,0.855889090166304,126,722
10-5,0.9,600,0.15121207207647253,0.8257405174762442,126,722
10-5,0.9,800,0.14989437403546815,0.818544817772413,126,722
10-5,0.9,1000,0.15020398683395933,0.8202355546886697,126,722
10-5,0.9,1200,0.14939019980630946,0.8157916176927715,126,722
10-5,0.1,400,0.07389992275825898,0.40355349689936454,126,723
10-5,0.1,600,0.07608723402461534,0.41549798990286824,126,723
10-5,0.1,800,0.08008675130307538,0.4373385970833622,126,723
10-5,0.1,1000,0.09236101444305725,0.5043660258968663,126,723
10-5,0.1,1200,0.06747943221885538,0.3684924127699357,126,723
10-5,0.3,400,0.14144292695219854,0.7723930641979179,126,723
10-5,0.3,600,0.1272245171631328,0.6947490183510042,126,723
10-5,0.3,800,0.12453137150674883,0.6800422594434433,126,723
10-5,0.3,1000,0.12443870989457195,0.6795362519101928,126,723
10-5,0.3,1200,0.11492611115774604,0.627589749917164,126,723
10-5,0.5,400,0.1463003829628713,0.7989187124797728,126,723
10-5,0.5,600,0.14389819624964809,0.7858008253136719,126,723
10-5,0.5,800,0.14283707315316854,0.7800062328399315,126,723
10-5,0.5,1000,0.14380948168045962,0.7853163718354316,126,723
10-5,0.5,1200,0.14091446486220274,0.7695072327053171,126,723
10-5,0.7,400,0.15118523792566718,0.8255939812555062,126,723
10-5,0.7,600,0.1465628720423736,0.8003521156820679,126,723
10-5,0.7,800,0.1455036941303951,0.7945681454928742,126,723
10-5,0.7,1000,0.14723703414722533,0.8040335873905015,126,723
10-5,0.7,1200,0.14529499449162858,0.7934284762498985,126,723
10-5,0.9,400,0.15718257497285393,0.8583443042212475,126,723
10-5,0.9,600,0.15250848181417123,0.8328199657833025,126,723
10-5,0.9,800,0.149876824998599,0.81844898580221,126,723
10-5,0.9,1000,0.15139495652407137,0.826739214844284,126,723
10-5,0.9,1200,0.14729952261334056,0.8043748250816309,126,723
10-5,0.1,400,0.05802226711312645,0.316848623348721,126,724
10-5,0.1,600,0.07584353054756907,0.41416717132149744,126,724
10-5,0.1,800,0.06285384674695581,0.3432329656322409,126,724
10-5,0.1,1000,0.08826027903722047,0.48197268567244067,126,724
10-5,0.1,1200,0.079152936468191,0.43223921094047235,126,724
10-5,0.3,400,0.13447546849445852,0.7343450917484771,126,724
