stim,leak_rate1,leak_rate2,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.3,0.7,0.092696395362298,0.45826986500347955,126,725
10-6,0.3,0.9,0.09304706973548992,0.4600035192306449,126,725
10-6,0.5,0.1,0.06244532324457892,0.3087154548086237,126,725
10-6,0.5,0.3,0.085127251610127,0.4208497423337458,126,725
10-6,0.5,0.5,0.09568138177618411,0.4730269579366227,126,725
10-6,0.5,0.7,0.0969023956214614,0.4790633722745872,126,725
10-6,0.5,0.9,0.09846203689994758,0.48677388351239975,126,725
10-6,0.7,0.1,0.06279470193423274,0.3104427034714975,126,725
10-6,0.7,0.3,0.08584290497403543,0.424387769558923,126,725
10-6,0.7,0.5,0.09807909946846094,0.48488072807365507,126,725
10-6,0.7,0.7,0.1004837656472535,0.4967688499453488,126,725
10-6,0.7,0.9,0.10184443928441116,0.503495710483743,126,725
10-6,0.9,0.1,0.06295989993661584,0.31125940476775676,126,725
10-6,0.9,0.3,0.08565934246124259,0.42348027830612406,126,725
10-6,0.9,0.5,0.09845274054483505,0.48672792445017526,126,725
10-6,0.9,0.7,0.10396575441099569,0.5139830092928305,126,725
10-6,0.9,0.9,0.10972254230519049,0.5424432574051247,126,725
10-6,0.1,0.1,0.05496173786044964,0.2717183132226651,136,721
10-6,0.1,0.3,0.0708077143895045,0.3500572119083826,136,721
10-6,0.1,0.5,0.07169739011034607,0.35445556602877126,136,721
10-6,0.1,0.7,0.07201343588002869,0.35601802432762203,136,721
10-6,0.1,0.9,0.07223871230207456,0.3571317396464964,136,721
10-6,0.3,0.1,0.0682122133213696,0.337225645810675,136,721
10-6,0.3,0.3,0.10014619531208804,0.49509997909744985,136,721
10-6,0.3,0.5,0.10458493688067295,0.5170441063903227,136,721
10-6,0.3,0.7,0.10453035773479297,0.5167742795247077,136,721
10-6,0.3,0.9,0.1046340319814957,0.5172868213862882,136,721
10-6,0.5,0.1,0.06916094891705077,0.3419159785000693,136,721
10-6,0.5,0.3,0.09774864428295757,0.4832470329050518,136,721
10-6,0.5,0.5,0.09471072148359704,0.4682282345395634,136,721
10-6,0.5,0.7,0.09697233193746113,0.4794091214913369,136,721
10-6,0.5,0.9,0.09737618930530255,0.4814057003304384,136,721
10-6,0.7,0.1,0.06971276101573866,0.34464401182849186,136,721
10-6,0.7,0.3,0.09775998182223058,0.4833030831168406,136,721
10-6,0.7,0.5,0.09408259197610733,0.4651229053250135,136,721
10-6,0.7,0.7,0.10224767454354025,0.5054892137590699,136,721
10-6,0.7,0.9,0.10664526177752172,0.5272298833954793,136,721
10-6,0.9,0.1,0.07029489458315202,0.34752194759190363,136,721
10-6,0.9,0.3,0.09787627249972553,0.4838779977385848,136,721
10-6,0.9,0.5,0.094223345903254,0.4658187606809862,136,721
10-6,0.9,0.7,0.10274742505866681,0.5079598664765499,136,721
10-6,0.9,0.9,0.11296565622340517,0.5584764739253825,136,721
10-6,0.1,0.1,0.05749464438882036,0.2842404261730786,136,722
10-6,0.1,0.3,0.06783355054007816,0.33535362326884854,136,722
10-6,0.1,0.5,0.06872315810990945,0.33975164046616535,136,722
10-6,0.1,0.7,0.06962573772754121,0.34421378851313494,136,722
10-6,0.1,0.9,0.07040723730795358,0.3480773444347659,136,722
10-6,0.3,0.1,0.06661705452459267,0.3293395440523384,136,722
10-6,0.3,0.3,0.10129585339244672,0.5007836267865208,136,722
10-6,0.3,0.5,0.09844610109666645,0.4866951005307118,136,722
10-6,0.3,0.7,0.09815385936172596,0.4852503239577273,136,722
10-6,0.3,0.9,0.09811922541142938,0.4850791015961142,136,722
10-6,0.5,0.1,0.06808396248257036,0.3365916028756352,136,722
10-6,0.5,0.3,0.09422466691599715,0.4658252914670983,136,722
10-6,0.5,0.5,0.09482520947033375,0.4687942370688019,136,722
10-6,0.5,0.7,0.09436977683155647,0.4665426818376097,136,722
10-6,0.5,0.9,0.09432089382452781,0.46630101538505314,136,722
10-6,0.7,0.1,0.0693765243484912,0.3429817343310069,136,722
10-6,0.7,0.3,0.09398992574128776,0.46466478456686355,136,722
10-6,0.7,0.5,0.09495005518291325,0.4694114458354045,136,722
10-6,0.7,0.7,0.10001023889743259,0.49442784155049346,136,722
10-6,0.7,0.9,0.10269907085483482,0.5077208143065509,136,722
10-6,0.9,0.1,0.07004274224904734,0.3462753638853978,136,722
10-6,0.9,0.3,0.09417680561423926,0.46558867609268423,136,722
10-6,0.9,0.5,0.0953018106024357,0.4711504445093957,136,722
10-6,0.9,0.7,0.1048750162800158,0.5184781928686326,136,722
10-6,0.9,0.9,0.11235278140303623,0.5554465604093631,136,722
10-6,0.1,0.1,0.060800681616490014,0.30058472120309726,136,723
10-6,0.1,0.3,0.06912398272022538,0.34173322604283884,136,723
10-6,0.1,0.5,0.06883232433043011,0.3402913333953824,136,723
10-6,0.1,0.7,0.06913641239818626,0.3417946755395415,136,723
10-6,0.1,0.9,0.06965169182782308,0.3443420996733043,136,723
10-6,0.3,0.1,0.06821246164792322,0.33722687348059416,136,723
10-6,0.3,0.3,0.10451915038629629,0.5167188729464632,136,723
10-6,0.3,0.5,0.09801852362368839,0.48458125489459686,136,723
10-6,0.3,0.7,0.0953863681316831,0.471568477674135,136,723
10-6,0.3,0.9,0.09489979824174521,0.469162986965407,136,723
10-6,0.5,0.1,0.0701087128367647,0.3466015074448024,136,723
10-6,0.5,0.3,0.09866499399835013,0.48777725717890447,136,723
10-6,0.5,0.5,0.09609051707556843,0.47504962966710584,136,723
10-6,0.5,0.7,0.09601633470980907,0.47468288894747684,136,723
10-6,0.5,0.9,0.09555812095947526,0.47241758453420923,136,723
10-6,0.7,0.1,0.07003008121422674,0.3462127706130773,136,723
