[I 2024-11-06 00:54:34,400] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 04:04:08,269] Trial 672 finished with value: 0.2277603959503142 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.009630248367207814, 'nodeNum_02': 200, 'leaking_rate_02': 0.029448353062886835, 'nodeNum_03': 600, 'leaking_rate_03': 0.04230979480450401, 'nodeNum_04': 500, 'leaking_rate_04': 0.08440164999800097, 'tikhonov_beta': 1.4029452477014736e-07, 'intensity': 1.9360757812143807}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:09:45,137] Trial 692 finished with value: 0.22191726196367337 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.013934287278548872, 'nodeNum_02': 200, 'leaking_rate_02': 0.044060809577780836, 'nodeNum_03': 600, 'leaking_rate_03': 0.053269472475091506, 'nodeNum_04': 500, 'leaking_rate_04': 0.09330724167894665, 'tikhonov_beta': 1.5779834550015602e-07, 'intensity': 1.949488086877166}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:15:20,954] Trial 712 finished with value: 0.22922073903224569 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.01437197757598935, 'nodeNum_02': 200, 'leaking_rate_02': 0.028054372524220078, 'nodeNum_03': 600, 'leaking_rate_03': 0.05137154503454337, 'nodeNum_04': 450, 'leaking_rate_04': 0.06950606656377988, 'tikhonov_beta': 1.6101263008307145e-07, 'intensity': 1.9392755850765977}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:21:02,481] Trial 732 finished with value: 0.2324829253618865 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.012331006229930778, 'nodeNum_02': 200, 'leaking_rate_02': 0.03330946233405951, 'nodeNum_03': 600, 'leaking_rate_03': 0.04498234890603346, 'nodeNum_04': 500, 'leaking_rate_04': 0.08266269468293913, 'tikhonov_beta': 1.39414225581604e-07, 'intensity': 1.014265487391065}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:26:38,248] Trial 752 finished with value: 0.22173505270551183 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.01656689141530165, 'nodeNum_02': 200, 'leaking_rate_02': 0.03420177992238598, 'nodeNum_03': 600, 'leaking_rate_03': 0.05842552248494951, 'nodeNum_04': 500, 'leaking_rate_04': 0.09955775433391761, 'tikhonov_beta': 1.0029473834915732e-07, 'intensity': 1.9071970395433986}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:32:17,478] Trial 772 finished with value: 0.2959579109022847 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.011324541072669824, 'nodeNum_02': 200, 'leaking_rate_02': 0.029046039562235292, 'nodeNum_03': 600, 'leaking_rate_03': 0.05700398257574378, 'nodeNum_04': 500, 'leaking_rate_04': 0.07576706106955956, 'tikhonov_beta': 0.0008590409623292545, 'intensity': 1.8853146302419272}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:37:52,731] Trial 792 finished with value: 0.21955442860422034 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.012195794175163005, 'nodeNum_02': 200, 'leaking_rate_02': 0.029938753335881026, 'nodeNum_03': 600, 'leaking_rate_03': 0.05107518558219738, 'nodeNum_04': 500, 'leaking_rate_04': 0.09146340858752636, 'tikhonov_beta': 1.971956949797592e-07, 'intensity': 1.9883291455581735}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:43:26,928] Trial 812 finished with value: 0.2263905888722608 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.013908266309625801, 'nodeNum_02': 200, 'leaking_rate_02': 0.03918565094444118, 'nodeNum_03': 600, 'leaking_rate_03': 0.04057843998594821, 'nodeNum_04': 450, 'leaking_rate_04': 0.09239253730822716, 'tikhonov_beta': 2.0302423941870363e-07, 'intensity': 1.990692790292269}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:49:04,617] Trial 832 finished with value: 0.26580569635339385 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.010677131526391728, 'nodeNum_02': 150, 'leaking_rate_02': 0.03306536514935949, 'nodeNum_03': 550, 'leaking_rate_03': 0.04373412633159066, 'nodeNum_04': 500, 'leaking_rate_04': 0.09975822361950674, 'tikhonov_beta': 0.00010922852745551861, 'intensity': 1.9514234838990658}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 04:54:40,116] Trial 852 finished with value: 0.2249197429526131 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.010777833241898616, 'nodeNum_02': 200, 'leaking_rate_02': 0.02741636954158716, 'nodeNum_03': 600, 'leaking_rate_03': 0.04598659643465285, 'nodeNum_04': 500, 'leaking_rate_04': 0.08222223645313452, 'tikhonov_beta': 1.384591717894522e-07, 'intensity': 1.9272612991990408}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 05:00:13,183] Trial 872 finished with value: 0.2207310559564233 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.012607377506405433, 'nodeNum_02': 200, 'leaking_rate_02': 0.040269563238486704, 'nodeNum_03': 600, 'leaking_rate_03': 0.05319726554616792, 'nodeNum_04': 500, 'leaking_rate_04': 0.08699500450255415, 'tikhonov_beta': 1.2964334242026401e-07, 'intensity': 1.8832816189234904}. Best is trial 634 with value: 0.21926077150984172.
[I 2024-11-06 05:05:48,116] Trial 892 finished with value: 0.2297174396601813 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.016003100668110296, 'nodeNum_02': 200, 'leaking_rate_02': 0.03161369266728579, 'nodeNum_03': 600, 'leaking_rate_03': 0.05341616390352179, 'nodeNum_04': 500, 'leaking_rate_04': 0.034233692904615545, 'tikhonov_beta': 1.0008364432284117e-07, 'intensity': 1.966286574010276}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:11:29,115] Trial 912 finished with value: 0.22217290276832685 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.014947817365122714, 'nodeNum_02': 200, 'leaking_rate_02': 0.03682804586838279, 'nodeNum_03': 600, 'leaking_rate_03': 0.06338719241648881, 'nodeNum_04': 500, 'leaking_rate_04': 0.09298957186532258, 'tikhonov_beta': 2.330214020861377e-07, 'intensity': 1.960167262983958}. Best is trial 883 with value: 0.21901890427195222.
