stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.9,1e-05,126,725,0.1360510469044728,0.7315111627255699
10-6,0.9,1e-06,126,725,0.1341011912304696,0.7210272949149926
10-6,0.9,1e-07,126,725,0.13237765486509676,0.7117602872783741
10-6,0.1,0.001,136,721,0.08096358697821746,0.4353201904462637
10-6,0.1,0.0001,136,721,0.07958156700321242,0.42788942778895217
10-6,0.1,1e-05,136,721,0.07583721513686686,0.40775701977207535
10-6,0.1,1e-06,136,721,0.06822203161313532,0.3668121547338459
10-6,0.1,1e-07,136,721,0.05813384556544218,0.31257059707261436
10-6,0.3,0.001,136,721,0.09145058656597954,0.49170606498740416
10-6,0.3,0.0001,136,721,0.08636941993758213,0.46438595100877983
10-6,0.3,1e-05,136,721,0.08352757332870564,0.4491060794866842
10-6,0.3,1e-06,136,721,0.08210919597999757,0.4414798326687117
10-6,0.3,1e-07,136,721,0.08291663856678014,0.4458212418598235
10-6,0.5,0.001,136,721,0.11812522071613797,0.6351286485428423
10-6,0.5,0.0001,136,721,0.11329816566886415,0.6091748265729835
10-6,0.5,1e-05,136,721,0.10894985022836608,0.5857950631963025
10-6,0.5,1e-06,136,721,0.10449557930885942,0.5618456047131875
10-6,0.5,1e-07,136,721,0.11624117854354375,0.6249986428453037
10-6,0.7,0.001,136,721,0.13216212930561266,0.7106014622917058
10-6,0.7,0.0001,136,721,0.12935416394725013,0.6955037614586418
10-6,0.7,1e-05,136,721,0.1261271644085096,0.6781530226116527
10-6,0.7,1e-06,136,721,0.12246767163034793,0.6584768798840008
10-6,0.7,1e-07,136,721,0.11859009856086318,0.6376281760397462
10-6,0.9,0.001,136,721,0.13932380896725277,0.7491079547851656
10-6,0.9,0.0001,136,721,0.1374133096216912,0.7388356957364024
10-6,0.9,1e-05,136,721,0.13507516658629,0.7262641075762175
10-6,0.9,1e-06,136,721,0.13248649342027316,0.7123454839369663
10-6,0.9,1e-07,136,721,0.13209947295997662,0.7102645753857157
10-6,0.1,0.001,136,722,0.07494942294262956,0.4029835915990367
10-6,0.1,0.0001,136,722,0.0752102840445626,0.4043861740291366
10-6,0.1,1e-05,136,722,0.07231208356451901,0.38880330237025784
10-6,0.1,1e-06,136,722,0.06525807142519852,0.350875710195699
10-6,0.1,1e-07,136,722,0.05560702665293382,0.2989845476981925
10-6,0.3,0.001,136,722,0.09032566600310508,0.4856576591305938
10-6,0.3,0.0001,136,722,0.08654921445830463,0.46535265947518184
10-6,0.3,1e-05,136,722,0.0838549613945899,0.4508663601327098
10-6,0.3,1e-06,136,722,0.08242434610010557,0.44317431305705585
10-6,0.3,1e-07,136,722,0.09060531379018369,0.48716125269002547
10-6,0.5,0.001,136,722,0.11752462499775128,0.6318994012692544
10-6,0.5,0.0001,136,722,0.11321518397991653,0.6087286555721118
10-6,0.5,1e-05,136,722,0.10862622120233635,0.5840549939317935
10-6,0.5,1e-06,136,722,0.10383543918461269,0.5582962026259798
10-6,0.5,1e-07,136,722,0.10364268418810423,0.5572598090455902
10-6,0.7,0.001,136,722,0.13177962942797847,0.7085448597399663
10-6,0.7,0.0001,136,722,0.1291157432639818,0.6942218353345606
10-6,0.7,1e-05,136,722,0.12619446533074058,0.6785148822003426
10-6,0.7,1e-06,136,722,0.12297443869565758,0.6612016348462759
