[I 2024-11-07 18:52:09,052] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 22:39:19,002] Trial 788 finished with value: 5.097108526507466 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.21039103945546758, 'nodeNum_02': 450, 'leaking_rate_02': 0.5630687386571975, 'nodeNum_03': 600, 'leaking_rate_03': 0.011114559619196008, 'nodeNum_04': 400, 'leaking_rate_04': 0.2389459766960392, 'tikhonov_beta': 6.098127969832934e-08, 'intensity': 4.906380753133375}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:45:09,882] Trial 808 finished with value: 0.2065655484229268 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.03477717449111353, 'nodeNum_02': 450, 'leaking_rate_02': 0.4920256116447766, 'nodeNum_03': 600, 'leaking_rate_03': 0.014574737743449225, 'nodeNum_04': 400, 'leaking_rate_04': 0.307169778815056, 'tikhonov_beta': 5.2691555310784065e-08, 'intensity': 4.917765010242721}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:50:56,192] Trial 828 finished with value: 0.20953270909374386 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.03377004045792011, 'nodeNum_02': 450, 'leaking_rate_02': 0.6773786344691641, 'nodeNum_03': 500, 'leaking_rate_03': 0.017539822038622945, 'nodeNum_04': 400, 'leaking_rate_04': 0.4358543670748771, 'tikhonov_beta': 4.6636458502288144e-08, 'intensity': 4.992392093330813}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:56:48,885] Trial 847 finished with value: 0.21165891164241654 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.03190555656140751, 'nodeNum_02': 450, 'leaking_rate_02': 0.7587343901234521, 'nodeNum_03': 600, 'leaking_rate_03': 0.011659904539481732, 'nodeNum_04': 400, 'leaking_rate_04': 0.374609442079605, 'tikhonov_beta': 6.291844705792588e-08, 'intensity': 4.815484374449789}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:02:32,979] Trial 867 finished with value: 0.37564797109975345 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.024778280435487667, 'nodeNum_02': 450, 'leaking_rate_02': 0.49569320219016716, 'nodeNum_03': 550, 'leaking_rate_03': 0.013693883659123805, 'nodeNum_04': 400, 'leaking_rate_04': 0.5660084569525827, 'tikhonov_beta': 1.0903250346130174e-09, 'intensity': 4.737457733290813}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:08:19,637] Trial 887 finished with value: 0.21355853795815566 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.044069269925445784, 'nodeNum_02': 500, 'leaking_rate_02': 0.27350894219818184, 'nodeNum_03': 450, 'leaking_rate_03': 0.02135279090518704, 'nodeNum_04': 400, 'leaking_rate_04': 0.26913162539995733, 'tikhonov_beta': 5.2206942450620794e-08, 'intensity': 4.538832140119134}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:14:09,941] Trial 907 finished with value: 0.2104250773353509 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.059517316182940774, 'nodeNum_02': 450, 'leaking_rate_02': 0.3664218756598613, 'nodeNum_03': 600, 'leaking_rate_03': 0.01813321955649438, 'nodeNum_04': 400, 'leaking_rate_04': 0.2660604491581409, 'tikhonov_beta': 8.338171419373772e-08, 'intensity': 4.904059658635184}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:19:51,163] Trial 926 finished with value: 0.2105760733417336 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.05818272955727364, 'nodeNum_02': 450, 'leaking_rate_02': 0.42969237236054464, 'nodeNum_03': 600, 'leaking_rate_03': 0.01745500988535222, 'nodeNum_04': 350, 'leaking_rate_04': 0.316541860155478, 'tikhonov_beta': 8.398415836974821e-08, 'intensity': 4.984287960582323}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:25:45,562] Trial 946 finished with value: 0.20780860328595196 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.052988714679414566, 'nodeNum_02': 450, 'leaking_rate_02': 0.566776649321532, 'nodeNum_03': 600, 'leaking_rate_03': 0.015544060525591416, 'nodeNum_04': 400, 'leaking_rate_04': 0.2234726603224233, 'tikhonov_beta': 4.2342126857972805e-08, 'intensity': 4.6210548364273905}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:31:33,382] Trial 965 finished with value: 0.2242356308455166 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.0314632942388639, 'nodeNum_02': 400, 'leaking_rate_02': 0.7703454279955958, 'nodeNum_03': 600, 'leaking_rate_03': 0.012791088219224825, 'nodeNum_04': 400, 'leaking_rate_04': 0.24094997694401343, 'tikhonov_beta': 1.857084720371739e-08, 'intensity': 4.849790784160064}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:37:29,181] Trial 985 finished with value: 1.113294895330117 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.024589769489497173, 'nodeNum_02': 450, 'leaking_rate_02': 0.6959314347242708, 'nodeNum_03': 600, 'leaking_rate_03': 0.019027760505074893, 'nodeNum_04': 400, 'leaking_rate_04': 0.25644008912557276, 'tikhonov_beta': 1.433869000658747e-08, 'intensity': 4.736144030833764}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:43:11,471] Trial 1007 finished with value: 0.25575600616959054 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.016361027881822653, 'nodeNum_02': 450, 'leaking_rate_02': 0.5164052794933888, 'nodeNum_03': 600, 'leaking_rate_03': 0.02893072269859863, 'nodeNum_04': 400, 'leaking_rate_04': 0.19563173408185858, 'tikhonov_beta': 3.3411329960187096e-08, 'intensity': 0.39632326618689273}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:49:00,752] Trial 1025 finished with value: 0.20921814900348978 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.03609016354369397, 'nodeNum_02': 450, 'leaking_rate_02': 0.5389324449137401, 'nodeNum_03': 600, 'leaking_rate_03': 0.014278237335549173, 'nodeNum_04': 400, 'leaking_rate_04': 0.2931280252862552, 'tikhonov_beta': 6.379571687813151e-08, 'intensity': 4.553087246594742}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 23:54:42,316] Trial 1045 finished with value: 0.21155009577150857 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.030420882115176684, 'nodeNum_02': 450, 'leaking_rate_02': 0.602508782055296, 'nodeNum_03': 600, 'leaking_rate_03': 0.016900019230558616, 'nodeNum_04': 400, 'leaking_rate_04': 0.38831286380452257, 'tikhonov_beta': 6.253315395205353e-08, 'intensity': 4.912761402546407}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-08 00:00:25,986] Trial 1064 finished with value: 0.2164547782114016 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.02768731228714097, 'nodeNum_02': 450, 'leaking_rate_02': 0.45968361258026497, 'nodeNum_03': 600, 'leaking_rate_03': 0.011304452478732251, 'nodeNum_04': 400, 'leaking_rate_04': 0.21265724093561592, 'tikhonov_beta': 2.342188165331465e-08, 'intensity': 4.4944677979486976}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-08 00:06:08,702] Trial 1084 finished with value: 0.20975024950027404 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.03437639499795217, 'nodeNum_02': 450, 'leaking_rate_02': 0.405841585177303, 'nodeNum_03': 600, 'leaking_rate_03': 0.020091814040764044, 'nodeNum_04': 350, 'leaking_rate_04': 0.23862349992914159, 'tikhonov_beta': 2.957178406345463e-08, 'intensity': 4.3150987945274}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-08 00:11:54,820] Trial 1103 finished with value: 0.21105174148348047 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.039261460221248275, 'nodeNum_02': 500, 'leaking_rate_02': 0.3820512459847196, 'nodeNum_03': 600, 'leaking_rate_03': 0.01974966772280201, 'nodeNum_04': 450, 'leaking_rate_04': 0.2628540860496254, 'tikhonov_beta': 4.87123863118138e-08, 'intensity': 4.682778414139675}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-08 00:17:38,602] Trial 1123 finished with value: 0.20619176583051627 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.040591681223644836, 'nodeNum_02': 450, 'leaking_rate_02': 0.5317186021596544, 'nodeNum_03': 600, 'leaking_rate_03': 0.01445402003054703, 'nodeNum_04': 400, 'leaking_rate_04': 0.18567128643387035, 'tikhonov_beta': 4.7073243502503847e-08, 'intensity': 4.735878038895887}. Best is trial 670 with value: 0.20543669310415288.
